model_family,architecture,seed,lambda_shortfall,T,rho_scale,split,model_name,n,rmse_vs_realised,rmse_vs_true,mae_vs_true,bias_vs_true,mean_regret,median_regret,mean_regret_vs_bayes,mean_regret_irreducible,mean_utility,shortfall_bind_share
pto,persistence,44,10.0,150,0.03,main,persistence,45,0.0012857235544474,0.0011532914832824,0.000786512751228,0.0001545298591968,0.194184526420243,0.0111688788719956,0.1937809614814586,0.0004035649387843,0.9077777301900384,0.4222222222222222
pto,persistence_ma4,44,10.0,150,0.03,main,persistence_ma4,45,0.0015160856679221,0.0014622048587697,0.0011320231116455,0.0001809015654994,0.2508970684943148,0.0134570544609329,0.2504935035555305,0.0004035649387843,0.8510651881159664,0.4
blackbox,linear,44,10.0,150,0.03,main,blackbox_linear,45,,,,,0.0727699709046287,0.015456271736735,0.0723664059658444,0.0004035649387843,1.0291922857056524,0.1777777777777777
blackbox,mlp,44,10.0,150,0.03,main,blackbox_mlp,45,,,,,0.029052677658476,0.0150245314040449,0.0286491127196917,0.0004035649387843,1.072909578951805,0.0444444444444444
blackbox,linear,44,10.0,500,0.25,main,blackbox_linear,150,,,,,0.0173604362703038,0.0122610201124505,0.0154410813525801,0.0019193549177237,1.0809808212130323,0.0266666666666666
dfl,linear,44,10.0,150,0.03,main,dfl_linear,45,0.0031496292553048,0.0031951964402135,0.0026243245291725,0.0025087290398645,0.0310827055613739,0.0148453197522087,0.0306791406225896,0.0004035649387843,1.0708795510489073,0.0666666666666666
blackbox,mlp,44,10.0,500,0.25,main,blackbox_mlp,150,,,,,0.0169522868227213,0.0142271609607342,0.0150329319049976,0.0019193549177237,1.0813889706606146,0.0133333333333333
dfl,mlp,44,10.0,150,0.03,main,dfl_mlp,45,0.0026413322395685,0.0027290264267223,0.0024211512883182,0.002203738149946,0.0424879089950858,0.0149205121290247,0.0420843440563014,0.0004035649387843,1.059474347615195,0.0666666666666666
pto,linear,44,10.0,300,0.03,main,linear,90,0.0025261733767834,0.0020138516635966,0.0013215782408404,-0.0005495533314845,0.314441385638888,0.0768532818146373,0.3136887239426056,0.0007526616962823,0.7769415989506346,0.5444444444444444
pto,mlp,44,10.0,300,0.03,main,mlp,90,0.0020457885459417,0.0015285500288541,0.0010228187088109,-0.0003358333782967,0.2087471958738045,0.011569332386599,0.2079945341775222,0.0007526616962823,0.882635788715718,0.4777777777777778
pto,persistence,44,10.0,300,0.03,main,persistence,90,0.0021002546921057,0.0016311593280451,0.0010915067548841,2.4340439442386618e-05,0.2346170515330791,0.0167636346119889,0.2338643898367967,0.0007526616962823,0.8567659330564434,0.4888888888888889
pto,persistence_ma4,44,10.0,300,0.03,main,persistence_ma4,90,0.002189051911999,0.0017662041474933,0.0012620009921657,-2.8390345481083705e-06,0.2452684225355599,0.0177342577900734,0.2445157608392775,0.0007526616962823,0.8461145620539626,0.4888888888888889
blackbox,linear,44,10.0,300,0.03,main,blackbox_linear,90,,,,,0.035865987916668,0.0109053444675805,0.0351133262203856,0.0007526616962823,1.0555169966728546,0.0333333333333333
blackbox,mlp,44,10.0,300,0.03,main,blackbox_mlp,90,,,,,0.0348421129985524,0.0151603634574667,0.03408945130227,0.0007526616962823,1.0565408715909703,0.0222222222222222
dfl,linear,44,10.0,500,0.25,main,dfl_linear,150,0.0045613011002975,0.0037963591744263,0.0024881283708226,0.0022390993604035,0.0319446745418813,0.0117433213190095,0.0300253196241575,0.0019193549177237,1.0663965829414548,0.0533333333333333
dfl,linear,44,10.0,300,0.03,main,dfl_linear,90,0.0060306675078542,0.005870524707383,0.0035503795157637,0.0032285312358753,0.0475325443366566,0.0098743125726166,0.0467798826403742,0.0007526616962823,1.043850440252866,0.0888888888888888
dfl,mlp,44,10.0,300,0.03,main,dfl_mlp,90,0.0048996463376979,0.0047345440444561,0.0038954824323643,0.0037331114166052,0.0281891643516138,0.0123890543431948,0.0274365026553314,0.0007526616962823,1.0631938202379088,0.0444444444444444
pto,linear,44,10.0,1000,0.03,main,linear,300,0.0023064865414357,0.0019830752440723,0.0012573353310838,-0.0002381779889294,0.1946862385033642,0.007690170058565,0.1940809589979512,0.0006052795054129,0.8941288307586032,0.44
dfl,mlp,44,10.0,500,0.25,main,dfl_mlp,150,0.0037581330127008,0.0029930360437594,0.002505784098821,0.002364434783757,0.0178093162725084,0.0149897023188723,0.0158899613547847,0.0019193549177237,1.0805319412108274,0.0266666666666666
pto,linear,44,10.0,500,0.5,main,linear,150,0.0037954736974335,0.0018982569452202,0.0010459296337234,0.0001632599735386,0.0695043027357999,0.007477120593983,0.0662422312153048,0.003262071520495,1.0289852268773476,0.1866666666666666
pto,mlp,44,10.0,500,0.5,main,mlp,150,0.0035726048977279,0.0015291522211304,0.001040743018513,0.0001626976800836,0.0557465638277155,0.0084899855668786,0.0524844923072205,0.003262071520495,1.0427429657854317,0.1866666666666666
pto,persistence,44,10.0,500,0.5,main,persistence,150,0.0051450323445254,0.003793250242127,0.0024240852226219,-0.0001110742988506,1.2341203455641137,0.6418597880656671,1.2308582740436187,0.003262071520495,-0.1356308159509665,0.58
pto,persistence_ma4,44,10.0,500,0.5,main,persistence_ma4,150,0.0041937820924964,0.0024943979966858,0.0016828934013276,-8.97246295927775e-05,0.4642125971199116,0.0170483294498081,0.4609505255994165,0.003262071520495,0.6342769324932358,0.4133333333333333
blackbox,linear,44,10.0,500,0.5,main,blackbox_linear,150,,,,,0.017662431757705,0.0125760054842825,0.0144003602372099,0.003262071520495,1.0808270978554424,0.02
blackbox,mlp,44,10.0,500,0.5,main,blackbox_mlp,150,,,,,0.0171944067653819,0.0151451506504706,0.0139323352448868,0.003262071520495,1.0812951228477652,0.0133333333333333
pto,mlp,44,10.0,1000,0.03,main,mlp,300,0.0019154299708726,0.0015400081701371,0.001041703209468,-0.0002810323964988,0.1724024208716955,0.0062823426938938,0.1717971413662825,0.0006052795054129,0.9164126483902718,0.4433333333333333
pto,persistence,44,10.0,1000,0.03,main,persistence,300,0.0018983989432083,0.0015843502020612,0.0011221439132246,-6.666699493634107e-05,0.222607490932952,0.0093808419355774,0.2220022114275391,0.0006052795054129,0.8662075783290154,0.48
pto,persistence_ma4,44,10.0,1000,0.03,main,persistence_ma4,300,0.0019820516004622,0.0016174477164736,0.0011326601998627,-0.0001057214210637,0.1961007823214402,0.0164015366769205,0.1954955028160273,0.0006052795054129,0.892714286940527,0.5066666666666667
blackbox,linear,44,10.0,1000,0.03,main,blackbox_linear,300,,,,,0.0148688024780155,0.0109124328618561,0.0142635229726026,0.0006052795054129,1.073946266783952,0.0166666666666666
dfl,linear,44,10.0,500,0.5,main,dfl_linear,150,0.0050682617234769,0.0035253213033924,0.0022607969741708,0.0019526999770728,0.0266545887693505,0.0125927863821999,0.0233925172488554,0.003262071520495,1.0718349408437968,0.0466666666666666
blackbox,mlp,44,10.0,1000,0.03,main,blackbox_mlp,300,,,,,0.0123530295301489,0.0097495591921504,0.0117477500247359,0.0006052795054129,1.0764620397318183,0.0133333333333333
dfl,mlp,44,10.0,500,0.5,main,dfl_mlp,150,0.0042524574295402,0.0025594549424499,0.0022171735222151,0.0019618620362818,0.0177510924081451,0.0157694807046785,0.01448902088765,0.003262071520495,1.0807384372050024,0.0133333333333333
pto,linear,45,10.0,500,0.1,main,linear,150,0.0028981672289479,0.0018468609061062,0.0013392020745659,-0.0007094691782181,0.2236604984797023,0.0629302481785721,0.2223480803763584,0.0013124181033438,0.8577072584887101,0.5466666666666666
pto,mlp,45,10.0,500,0.1,main,mlp,150,0.0026005484457833,0.0014172174019629,0.0010612260060625,-0.0004105445910168,0.1396969550629466,0.0050983813600531,0.1383845369596028,0.0013124181033438,0.9416708019054658,0.4066666666666667
