DATE,model,train_size,is_stress,regime_label,actual_chargeoff,pred_chargeoff_raw,pred_chargeoff,forecast_error,actual_pd_q,actual_pd_a,pred_pd_q,pred_pd_a,alpha_pred,alpha_oracle,realised_utility,oracle_utility,regret,cumulative_regret
2021-09-30,pto_linear,125,0,normal,0.0016170957363647,-8.922872210954166e-05,0.0005,-0.0011170957363647,0.0035935460808104443,0.014296888337956615,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.9663250742409277,1.0444043327198458,1.046753613554549,0.0023492808347032046,0.013540901846696096
2021-09-30,pto_mlp,125,0,normal,0.0016170957363647,-0.16456940203926435,0.0005,-0.0011170957363647,0.0035935460808104443,0.014296888337956615,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.9663250742409277,1.0444043327198458,1.046753613554549,0.0023492808347032046,0.015753529341218986
2021-12-31,pto_linear,126,0,normal,0.0018036340864681,0.0012727686773782356,0.0012727686773782356,-0.0005308654090898644,0.004008075747706888,0.01593617225923394,0.0028283748386183014,0.011265591569760258,0.9177690631775535,0.963538713173198,1.0442331335930248,1.046439064391949,0.0022059307989241717,0.015746832645620268
2021-12-31,pto_mlp,126,0,normal,0.0018036340864681,-0.015415697038870926,0.0005,-0.0013036340864681,0.004008075747706888,0.01593617225923394,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.963538713173198,1.0442331335930248,1.046439064391949,0.0022059307989241717,0.017959460140143158
2022-03-31,pto_linear,127,0,normal,0.0021546096508272,0.0009498823176236739,0.0009498823176236739,-0.001204727333203526,0.004788021446282666,0.01901497342777514,0.0021108495947192753,0.00841670186408694,0.9177690631775535,0.9590149941992454,1.0439110190781247,1.0458844467481725,0.0019734276700478226,0.01772026031566809
2022-03-31,pto_mlp,127,0,normal,0.0021546096508272,0.011452193080372541,0.011452193080372541,0.009297583429545342,0.004788021446282666,0.01901497342777514,0.025449317956383423,0.09797677645880976,0.8812332958938061,0.9590149941992454,1.0421629510307273,1.0458844467481725,0.003721495717445178,0.021680955857588335
2022-06-30,pto_linear,128,0,normal,0.0025895813117417,0.0002714054935950127,0.0005,-0.0020895813117417,0.005754625137203777,0.022820567463346153,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.9542892104199074,1.0435118155443783,1.0452432510156953,0.0017314354713169333,0.019451695786985024
2022-06-30,pto_mlp,128,0,normal,0.0025895813117417,0.11240777027173998,0.04,0.0374104186882583,0.005754625137203777,0.022820567463346153,0.08888888888888889,0.3108950464868161,0.8709993821678277,0.9542892104199074,1.041294445385791,1.0452432510156953,0.003948805629904184,0.02562976148749252
2022-09-30,pto_linear,129,0,normal,0.0022799921439254,0.0030832073159280243,0.0030832073159280243,0.0008032151720026243,0.005066649208723111,0.020113090833144054,0.006851571813173387,0.027125907392828608,0.9177690631775535,0.9575710472309534,1.0437959469048952,1.0456952978966108,0.0018993509917155649,0.02135104677870059
2022-09-30,pto_mlp,129,0,normal,0.0022799921439254,-0.07416565080677168,0.0005,-0.0017799921439254,0.005066649208723111,0.020113090833144054,0.0011111111111111111,0.004437042522481116,0.9177690631775535,0.9575710472309534,1.0437959469048952,1.0456952978966108,0.0018993509917155649,0.027529112479208084
