time,model,true_stress_probability,predicted_stress_probability
2105-10-01,prob_diag_linear,0.1734544691173244,0.1734543093562133
2106-01-01,prob_diag_linear,0.248057441441193,0.24805723118999087
2106-04-01,prob_diag_linear,0.172618415261269,0.1726182662447882
2106-07-01,prob_diag_linear,0.1630603846770791,0.1630602495164905
2106-10-01,prob_diag_linear,0.2056380093359196,0.20563780644216265
2107-01-01,prob_diag_linear,0.0271125413491008,0.027113129517254423
2107-04-01,prob_diag_linear,0.0384285075435936,0.038428981031772697
2107-07-01,prob_diag_linear,0.0418805936120279,0.04188104098389858
2107-10-01,prob_diag_linear,0.0605590470053927,0.06055934303028459
2108-01-01,prob_diag_linear,0.0082957977019536,0.008296632222873666
2108-04-01,prob_diag_linear,0.002816496083598,0.0028174276545477506
2108-07-01,prob_diag_linear,0.0021126136129887,0.002113559838254209
2108-10-01,prob_diag_linear,0.0072533725128063,0.007254223501522904
2109-01-01,prob_diag_linear,0.0009278196566523,0.0009287930837851577
2109-04-01,prob_diag_linear,0.0001276812884524,0.000128676648008967
2109-07-01,prob_diag_linear,0.0007895160329706,0.0007904928883023285
2109-10-01,prob_diag_linear,0.0028471519372216,0.0028480830336037235
2110-01-01,prob_diag_linear,0.0072366421589135,0.007237493177471092
2110-04-01,prob_diag_linear,0.0053356493375692,0.005336532902179669
2110-07-01,prob_diag_linear,0.0017248839929826,0.0017258387864233949
2110-10-01,prob_diag_linear,0.0045869363604225,0.004587833320208002
2111-01-01,prob_diag_linear,0.017471306019946,0.017472005818063394
2111-04-01,prob_diag_linear,0.0544947741845352,0.05449510646118136
2111-07-01,prob_diag_linear,0.2934127676296786,0.2934125258492842
2111-10-01,prob_diag_linear,0.8526002939151707,0.8526004663000584
2112-01-01,prob_diag_linear,0.8467171581206219,0.8467173522570748
2112-04-01,prob_diag_linear,0.5295502991164166,0.5295504522472578
2112-07-01,prob_diag_linear,0.290007847777809,0.29000764280648356
2112-10-01,prob_diag_linear,0.2276744180120505,0.227674203089456
2113-01-01,prob_diag_linear,0.2671594306511274,0.2671592283747895
2113-04-01,prob_diag_linear,0.1890027107265341,0.1890025320907264
2113-07-01,prob_diag_linear,0.1438089177152709,0.14380882759605507
2113-10-01,prob_diag_linear,0.0286168100997499,0.028617385743869402
2114-01-01,prob_diag_linear,0.0505450592431465,0.050545430762768635
2114-04-01,prob_diag_linear,0.1851510393797313,0.18515085760908304
2114-07-01,prob_diag_linear,0.3496862664215786,0.3496860944216424
2114-10-01,prob_diag_linear,0.3039012617611051,0.3039010493598381
2115-01-01,prob_diag_linear,0.2982510721168081,0.29825086223942215
2115-04-01,prob_diag_linear,0.5821216212619069,0.5821218115202605
2115-07-01,prob_diag_linear,0.4788498619788073,0.4788498504228376
2115-10-01,prob_diag_linear,0.72014969797346,0.7201500125331045
2116-01-01,prob_diag_linear,0.4005790422436368,0.40057890164836313
2116-04-01,prob_diag_linear,0.2561843513186937,0.2561840880443245
2116-07-01,prob_diag_linear,0.6688167954521508,0.6688171087943939
2116-10-01,prob_diag_linear,0.7155078412699835,0.7155081721802715
2117-01-01,prob_diag_linear,0.5620701563268892,0.5620703164178948
2117-04-01,prob_diag_linear,0.3450229812096984,0.345022791686582
2117-07-01,prob_diag_linear,0.4581209121598696,0.458120903887437
2117-10-01,prob_diag_linear,0.3107153906084869,0.31071519153160815
2118-01-01,prob_diag_linear,0.5849547723868496,0.5849550236879991
2118-04-01,prob_diag_linear,0.901783462539422,0.9017834562331294
2118-07-01,prob_diag_linear,0.8459177378984849,0.8459179531818573
2118-10-01,prob_diag_linear,0.8268081162271138,0.8268083898418582
2119-01-01,prob_diag_linear,0.5293250275853565,0.5293251990142455
2119-04-01,prob_diag_linear,0.6216034166222014,0.621603731611179
2119-07-01,prob_diag_linear,0.3425284372137315,0.342528261399815
2119-10-01,prob_diag_linear,0.3684002282494465,0.3684000796889616
2120-01-01,prob_diag_linear,0.0245369488394909,0.024537566018318507
2120-04-01,prob_diag_linear,0.017585532107722,0.017586233402234624
2120-07-01,prob_diag_linear,0.0939120960224061,0.09391218666898954
2120-10-01,prob_diag_linear,0.527794580928747,0.5277947183559889
2121-01-01,prob_diag_linear,0.3193604077690525,0.3193602047647415
2121-04-01,prob_diag_linear,0.256877691264976,0.25687745640523035
