feature_time,time,stage,model,train_size,true_stress_probability,stress_regime,predicted_stress_probability,predicted_delta,base_mixture_mean,predicted_mean_charge_off,true_conditional_mean_charge_off,realised_charge_off_rate,predicted_normal_mean,predicted_stress_mean,predicted_alpha,oracle_alpha,predicted_realised_utility,oracle_utility,regret,cumulative_regret
2093-04-01,2093-04-01,stage_2_delta,pto_delta_mlp,373,0.6237993609909843,1,0.9987111328155291,-0.005344180945037581,0.014289431289087337,0.008945250344049756,0.011215154760126071,0.0242166646648832,0.0007558190549624196,0.00895581905496242,0.4695437905568517,0.3780594910993101,-1.2987742394479123,1.097476346356371,2.3962505858042835,31.598261198159612
2093-07-01,2093-07-01,stage_2_delta,pto_delta_linear,374,0.3069026810197787,0,0.1676091233138287,0.0017699843294140746,0.007474394811173395,0.00924437914058747,0.008616601984362185,0.0082425826055764,0.007869984329414076,0.016069984329414075,0.46276939229404673,0.514800371033679,1.1932405467138627,1.2149673396805745,0.02172679296671176,15.852073386615826
2093-07-01,2093-07-01,stage_2_delta,pto_delta_mlp,374,0.3069026810197787,0,0.9999601829563114,-0.006208287045260161,0.014299673500241755,0.008091386454981593,0.008616601984362185,0.0082425826055764,-0.00010828704526016052,0.00809171295473984,0.4832150751790393,0.514800371033679,1.2017781358552893,1.2149673396805745,0.013189203825285212,31.611450401984897
2093-10-01,2093-10-01,stage_2_delta,pto_delta_linear,375,0.156701791980404,1,0.28952173767373873,-0.0003127598277858364,0.008474078248924656,0.00816131842113882,0.007384954694239313,0.0117018206978197,0.005787240172214164,0.013987240172214165,0.47733834452530205,0.4625608033195161,0.8633397104284244,1.1771523658369136,0.31381265540848924,16.165886042024315
2093-10-01,2093-10-01,stage_2_delta,pto_delta_mlp,375,0.156701791980404,1,0.2595098468372446,-0.0024332253579884924,0.008227980744065406,0.005794755386076913,0.007384954694239313,0.0117018206978197,0.003666774642011508,0.011866774642011508,0.5228728226483488,0.4625608033195161,-0.10362123350175012,1.1771523658369136,1.2807735993386637,32.89222400132356
2094-01-01,2094-01-01,stage_2_delta,pto_delta_linear,376,0.1186211224922356,0,0.6467419774900558,-0.002899858357773184,0.011403284215418457,0.008503425857645273,0.007072693204436332,0.0063712765591615,0.0032001416422268165,0.011400141642226816,0.47267126551448313,0.5538578858842726,1.2062204392156253,1.241641125287724,0.035420686072098695,16.201306728096412
2094-01-01,2094-01-01,stage_2_delta,pto_delta_mlp,376,0.1186211224922356,0,0.9999985358111488,-0.007146863717461725,0.01429998799365142,0.007153124276189694,0.007072693204436332,0.0063712765591615,-0.0010468637174617249,0.007153136282538275,0.4999398206540536,0.5538578858842726,1.218117361723781,1.241641125287724,0.023523763563942923,32.915747764887506
2094-04-01,2094-04-01,stage_2_delta,pto_delta_linear,377,0.1076113957612487,0,0.3921644835429298,-0.0013330198383670082,0.009315748765052024,0.007982728926685017,0.0069824134452422405,0.0085034181647865,0.004766980161632992,0.012966980161632991,0.4798962305614921,0.510043991690318,1.1991405320390545,1.211650822407362,0.012510290368307642,16.21381701846472
2094-04-01,2094-04-01,stage_2_delta,pto_delta_mlp,377,0.1076113957612487,0,9.23814786049275e-06,0.0010603476168727015,0.006100075752812456,0.0071604233696851574,0.0069824134452422405,0.0085034181647865,0.007160347616872701,0.015360347616872702,0.5129525040190147,0.510043991690318,1.1558330437334385,1.211650822407362,0.05581777867392357,32.971565543561425
2094-07-01,2094-07-01,stage_2_delta,pto_delta_linear,378,0.0854928993932088,0,0.12304428812845714,0.00040286536480869635,0.007108963162653348,0.0075118285274620444,0.006801041775024312,-0.0016428991533265,0.006502865364808697,0.014702865364808696,0.493238666384843,0.9999999700466812,1.254722747066337,1.5164289760645036,0.26170622899816665,16.47552324746289
2094-07-01,2094-07-01,stage_2_delta,pto_delta_mlp,378,0.0854928993932088,0,0.8480704782207683,-0.00440756970168462,0.013054177921410299,0.00864660821972568,0.006801041775024312,-0.0016428991533265,0.0016924302983153802,0.00989243029831538,0.4723906693532745,0.9999999700466812,1.2439562369838355,1.5164289760645036,0.27247273908066805,33.244038282642094
2094-10-01,2094-10-01,stage_2_delta,pto_delta_linear,379,0.0765625278427474,0,0.3506386445101113,-0.0019283470189869754,0.008975236884982913,0.007046889865995937,0.00672781272831053,0.0032544515080945,0.004171652981013025,0.012371652981013025,0.49657649028593165,0.6465403428496972,1.2321274040660126,1.3022288294865367,0.07010142542052411,16.545624672883413
2094-10-01,2094-10-01,stage_2_delta,pto_delta_mlp,379,0.0765625278427474,0,1.0041582347235929e-06,-0.0015530646947390268,0.006100008234097525,0.0045469435393584974,0.00672781272831053,0.0032544515080945,0.004546935305260974,0.012746935305260974,0.5739915425511363,0.6465403428496972,1.2683154948626778,1.3022288294865367,0.033913334623858926,33.277951617265956
2095-01-01,2095-01-01,stage_2_delta,pto_delta_linear,380,0.0870654698347467,0,0.32036667849897893,-0.0015319556548420502,0.008727006763691626,0.007195051108849577,0.006813936852644923,0.0015908139376222,0.00456804434515795,0.01276804434515795,0.4939625707039521,0.7440516312974419,1.2391232599305808,1.3601893365705473,0.12106607663996649,16.66669074952338
2095-01-01,2095-01-01,stage_2_delta,pto_delta_mlp,380,0.0870654698347467,0,3.293754445648177e-06,0.0014129911053653475,0.006100027008786454,0.0075130181141518015,0.006813936852644923,0.0015908139376222,0.007512991105365348,0.015712991105365347,0.5061601104699681,0.7440516312974419,1.245027989650944,1.3601893365705473,0.11516134691960334,33.393112964185555
2095-04-01,2095-04-01,stage_2_delta,pto_delta_linear,381,0.4039225817447958,1,0.08874646758915077,0.0037500942425189297,0.006827721034231036,0.010577815276749964,0.009412165170307326,0.0249725109971228,0.00985009424251893,0.01805009424251893,0.44870003550428444,0.3754571111988258,-0.8384682580877776,1.0939674872158065,1.932435745303584,18.59912649482696
2095-04-01,2095-04-01,stage_2_delta,pto_delta_mlp,381,0.4039225817447958,1,0.999375227707264,-0.004673106493136934,0.014294876867199564,0.00962177037406263,0.009412165170307326,0.0249725109971228,0.0014268935068630665,0.009626893506863066,0.4596857593919589,0.3754571111988258,-1.1283147774672242,1.0939674872158065,2.222282264683031,35.615395228868586
2095-07-01,2095-07-01,stage_2_delta,pto_delta_linear,382,0.2411818529383229,1,0.07589572111422994,0.0029287470585438622,0.006722344913136685,0.009651091971680547,0.008077691194094247,0.0119235280701701,0.009028747058543863,0.017228747058543863,0.4624510753942518,0.4598968544611977,1.1205461405966035,1.1751124966950883,0.054566356098484814,18.65369285092545
